Teste - Copia - Copia.png
	gaussian_0.001.png: 29.99243612456377
	gaussian_0.03.png: 16.68595708976798
	salt_and_pepper_0.005.png: 27.456910885755875
	salt_and_pepper_0.06.png: 16.614179531032548
	gaussian_0.001_average_M=3.png: 29.964699599807794
	gaussian_0.001_average_M=5.png: 27.99017087758401
	gaussian_0.001_average_M=7.png: 26.87039051443158
	gaussian_0.001_median_M=3.png: 29.76156888669388
	gaussian_0.001_median_M=5.png: 27.84548325201085
	gaussian_0.001_median_M=7.png: 27.050845516656384
	gaussian_0.03_average_M=3.png: 24.0890849495619
	gaussian_0.03_average_M=5.png: 25.134811787788017
	gaussian_0.03_average_M=7.png: 24.993678851707667
	gaussian_0.03_median_M=3.png: 22.603113735191013
	gaussian_0.03_median_M=5.png: 24.687538461953856
	gaussian_0.03_median_M=7.png: 25.306385313296794
	salt_and_pepper_0.005_average_M=3.png: 29.597171387156113
	salt_and_pepper_0.005_average_M=5.png: 27.8954632554886
	salt_and_pepper_0.005_average_M=7.png: 26.821826808685806
	salt_and_pepper_0.005_median_M=3.png: 30.587441094493045
	salt_and_pepper_0.005_median_M=5.png: 28.025752343211245
	salt_and_pepper_0.005_median_M=7.png: 27.1023137658485
	salt_and_pepper_0.06_average_M=3.png: 24.269037628513622
	salt_and_pepper_0.06_average_M=5.png: 25.361512896149772
	salt_and_pepper_0.06_average_M=7.png: 25.218360026969297
	salt_and_pepper_0.06_median_M=3.png: 30.344200634370914
	salt_and_pepper_0.06_median_M=5.png: 27.924761174599926
	salt_and_pepper_0.06_median_M=7.png: 27.035144996553157
Teste - Copia.png
	gaussian_0.001.png: 30.005607049621773
	gaussian_0.03.png: 16.676645497881978
	salt_and_pepper_0.005.png: 27.323247004698658
	salt_and_pepper_0.06.png: 16.53785289195551
	gaussian_0.001_average_M=3.png: 29.964699599807794
	gaussian_0.001_average_M=5.png: 27.99017087758401
	gaussian_0.001_average_M=7.png: 26.87039051443158
	gaussian_0.001_median_M=3.png: 29.76156888669388
	gaussian_0.001_median_M=5.png: 27.84548325201085
	gaussian_0.001_median_M=7.png: 27.050845516656384
	gaussian_0.03_average_M=3.png: 24.0890849495619
	gaussian_0.03_average_M=5.png: 25.134811787788017
	gaussian_0.03_average_M=7.png: 24.993678851707667
	gaussian_0.03_median_M=3.png: 22.603113735191013
	gaussian_0.03_median_M=5.png: 24.687538461953856
	gaussian_0.03_median_M=7.png: 25.306385313296794
	salt_and_pepper_0.005_average_M=3.png: 29.597171387156113
	salt_and_pepper_0.005_average_M=5.png: 27.8954632554886
	salt_and_pepper_0.005_average_M=7.png: 26.821826808685806
	salt_and_pepper_0.005_median_M=3.png: 30.587441094493045
	salt_and_pepper_0.005_median_M=5.png: 28.025752343211245
	salt_and_pepper_0.005_median_M=7.png: 27.1023137658485
	salt_and_pepper_0.06_average_M=3.png: 24.269037628513622
	salt_and_pepper_0.06_average_M=5.png: 25.361512896149772
	salt_and_pepper_0.06_average_M=7.png: 25.218360026969297
	salt_and_pepper_0.06_median_M=3.png: 30.344200634370914
	salt_and_pepper_0.06_median_M=5.png: 27.924761174599926
	salt_and_pepper_0.06_median_M=7.png: 27.035144996553157
Teste.png
	gaussian_0.001.png: 30.00376993325556
	gaussian_0.03.png: 16.669582475940096
	salt_and_pepper_0.005.png: 27.663565257658846
	salt_and_pepper_0.06.png: 16.41997598038725
	gaussian_0.001_average_M=3.png: 29.964699599807794
	gaussian_0.001_average_M=5.png: 27.99017087758401
	gaussian_0.001_average_M=7.png: 26.87039051443158
	gaussian_0.001_median_M=3.png: 29.76156888669388
	gaussian_0.001_median_M=5.png: 27.84548325201085
	gaussian_0.001_median_M=7.png: 27.050845516656384
	gaussian_0.03_average_M=3.png: 24.0890849495619
	gaussian_0.03_average_M=5.png: 25.134811787788017
	gaussian_0.03_average_M=7.png: 24.993678851707667
	gaussian_0.03_median_M=3.png: 22.603113735191013
	gaussian_0.03_median_M=5.png: 24.687538461953856
	gaussian_0.03_median_M=7.png: 25.306385313296794
	salt_and_pepper_0.005_average_M=3.png: 29.597171387156113
	salt_and_pepper_0.005_average_M=5.png: 27.8954632554886
	salt_and_pepper_0.005_average_M=7.png: 26.821826808685806
	salt_and_pepper_0.005_median_M=3.png: 30.587441094493045
	salt_and_pepper_0.005_median_M=5.png: 28.025752343211245
	salt_and_pepper_0.005_median_M=7.png: 27.1023137658485
	salt_and_pepper_0.06_average_M=3.png: 24.269037628513622
	salt_and_pepper_0.06_average_M=5.png: 25.361512896149772
	salt_and_pepper_0.06_average_M=7.png: 25.218360026969297
	salt_and_pepper_0.06_median_M=3.png: 30.344200634370914
	salt_and_pepper_0.06_median_M=5.png: 27.924761174599926
	salt_and_pepper_0.06_median_M=7.png: 27.035144996553157
