Teste - 1.png
	salt_and_pepper_0.005.png: 27.01614873203885
	salt_and_pepper_0.06.png: 16.343416109840547
	gaussian_0.03.png: 16.656754479563546
	gaussian_0.001.png: 29.954885815546252
	gaussian_0.03_median_M=3.png: 22.484164240592797
	salt_and_pepper_0.06_average_M=3.png: 24.25520305816383
	gaussian_0.001_median_M=3.png: 29.73787236970314
	gaussian_0.03_median_M=5.png: 24.64958644490755
	salt_and_pepper_0.005_average_M=5.png: 27.886743789625843
	gaussian_0.03_average_M=7.png: 24.867212489675747
	salt_and_pepper_0.06_average_M=7.png: 25.230108209467694
	gaussian_0.03_average_M=5.png: 24.988028955787613
	gaussian_0.001_median_M=7.png: 27.046609549532505
	gaussian_0.03_median_M=7.png: 25.28865887059232
	gaussian_0.001_median_M=5.png: 27.832305931163898
	salt_and_pepper_0.06_median_M=3.png: 30.24726639626206
	salt_and_pepper_0.005_median_M=3.png: 30.611467078817096
	salt_and_pepper_0.06_median_M=5.png: 27.965000549805843
	salt_and_pepper_0.005_median_M=7.png: 27.10157584907065
	gaussian_0.03_average_M=3.png: 23.963698725084264
	salt_and_pepper_0.06_median_M=7.png: 27.063842132778348
	salt_and_pepper_0.005_median_M=5.png: 28.023017000890356
	gaussian_0.001_average_M=3.png: 29.98668559985517
	salt_and_pepper_0.005_average_M=3.png: 29.59196079202645
	salt_and_pepper_0.005_average_M=7.png: 26.822994229893578
	gaussian_0.001_average_M=5.png: 28.001462437166555
	salt_and_pepper_0.06_average_M=5.png: 25.37027508052859
	gaussian_0.001_average_M=7.png: 26.881504225760004
Teste - 3.png
	salt_and_pepper_0.005.png: 27.085831813105994
	salt_and_pepper_0.06.png: 16.57482020449294
	gaussian_0.03.png: 16.616860451759003
	gaussian_0.001.png: 29.97824390789765
	gaussian_0.03_median_M=3.png: 22.484164240592797
	salt_and_pepper_0.06_average_M=3.png: 24.25520305816383
	gaussian_0.001_median_M=3.png: 29.73787236970314
	gaussian_0.03_median_M=5.png: 24.64958644490755
	salt_and_pepper_0.005_average_M=5.png: 27.886743789625843
	gaussian_0.03_average_M=7.png: 24.867212489675747
	salt_and_pepper_0.06_average_M=7.png: 25.230108209467694
	gaussian_0.03_average_M=5.png: 24.988028955787613
	gaussian_0.001_median_M=7.png: 27.046609549532505
	gaussian_0.03_median_M=7.png: 25.28865887059232
	gaussian_0.001_median_M=5.png: 27.832305931163898
	salt_and_pepper_0.06_median_M=3.png: 30.24726639626206
	salt_and_pepper_0.005_median_M=3.png: 30.611467078817096
	salt_and_pepper_0.06_median_M=5.png: 27.965000549805843
	salt_and_pepper_0.005_median_M=7.png: 27.10157584907065
	gaussian_0.03_average_M=3.png: 23.963698725084264
	salt_and_pepper_0.06_median_M=7.png: 27.063842132778348
	salt_and_pepper_0.005_median_M=5.png: 28.023017000890356
	gaussian_0.001_average_M=3.png: 29.98668559985517
	salt_and_pepper_0.005_average_M=3.png: 29.59196079202645
	salt_and_pepper_0.005_average_M=7.png: 26.822994229893578
	gaussian_0.001_average_M=5.png: 28.001462437166555
	salt_and_pepper_0.06_average_M=5.png: 25.37027508052859
	gaussian_0.001_average_M=7.png: 26.881504225760004
Teste - 2.png
	salt_and_pepper_0.005.png: 27.47743438914125
	salt_and_pepper_0.06.png: 16.598756368522103
	gaussian_0.03.png: 16.623622714666723
	gaussian_0.001.png: 29.983104868397366
	gaussian_0.03_median_M=3.png: 22.484164240592797
	salt_and_pepper_0.06_average_M=3.png: 24.25520305816383
	gaussian_0.001_median_M=3.png: 29.73787236970314
	gaussian_0.03_median_M=5.png: 24.64958644490755
	salt_and_pepper_0.005_average_M=5.png: 27.886743789625843
	gaussian_0.03_average_M=7.png: 24.867212489675747
	salt_and_pepper_0.06_average_M=7.png: 25.230108209467694
	gaussian_0.03_average_M=5.png: 24.988028955787613
	gaussian_0.001_median_M=7.png: 27.046609549532505
	gaussian_0.03_median_M=7.png: 25.28865887059232
	gaussian_0.001_median_M=5.png: 27.832305931163898
	salt_and_pepper_0.06_median_M=3.png: 30.24726639626206
	salt_and_pepper_0.005_median_M=3.png: 30.611467078817096
	salt_and_pepper_0.06_median_M=5.png: 27.965000549805843
	salt_and_pepper_0.005_median_M=7.png: 27.10157584907065
	gaussian_0.03_average_M=3.png: 23.963698725084264
	salt_and_pepper_0.06_median_M=7.png: 27.063842132778348
	salt_and_pepper_0.005_median_M=5.png: 28.023017000890356
	gaussian_0.001_average_M=3.png: 29.98668559985517
	salt_and_pepper_0.005_average_M=3.png: 29.59196079202645
	salt_and_pepper_0.005_average_M=7.png: 26.822994229893578
	gaussian_0.001_average_M=5.png: 28.001462437166555
	salt_and_pepper_0.06_average_M=5.png: 25.37027508052859
	gaussian_0.001_average_M=7.png: 26.881504225760004
